"data_type","phenotype","n_subjects","mean_pearson_correlation","mean_spearman_correlation","sd_pearson_correlation","sd_spearman_correlation","mean_n_points","pearson_ttest_pvalue","spearman_ttest_pvalue","pearson_ttest_fdr","spearman_ttest_fdr"
"ultrasound","Heart and Large Vessels_Left Ventricular Volume per Beat",11,-0.635635571919705,-0.618668113098411,0.447328810777814,0.383505488088067,5.09090909090909,0.00150300803560136,0.000643967148410372,0.0035242947041687,0.00199044391326842
"physiology","TC",10,-0.596198485529142,-0.587418806055133,0.344213779256246,0.344160176310935,5.4,0.000826251142275037,0.000906682431556918,0.0021609645259501,0.00256893355607793
"physiology","LDL-C",10,-0.594783513094935,-0.655800103403156,0.292366216387396,0.309307012039985,5.4,0.000288472837264165,0.000218103445983591,0.000817339705581802,0.000741551716344209
"physiology","Red Cell Distribution Width - Standard Deviation(RDW-SD)",11,0.584462765387031,0.595795153161627,0.407868529172221,0.424614629992813,5.72727272727273,0.00142324815429312,0.00163025154680162,0.00345645980328329,0.00426373481471192
"ultrasound","Heart and Large Vessels_Main pulmonary artery blood flow velocity",10,0.579812093964675,0.5659693079818,0.2151840866743,0.325095786271802,4.6,0.000124077658103402,0.00170567643848487,0.000421864037551567,0.00429577769692486
"physiology","CK",10,0.553112818723667,0.487076600663845,0.393084769853174,0.381008214809188,5.4,0.00291056174790644,0.00498124307352403,0.00638445802766574,0.0112908176333211
"physiology","Partial Pressure of Oxygen(pO2)",10,-0.551195932360308,-0.525752038869449,0.445170916763526,0.418582617049111,5.5,0.00591795154826276,0.00548059648912465,0.0121945668267233,0.0120219535890476
"physiology","Hematocrit(Hct)",10,0.537918322510615,0.48713757075087,0.560229162418403,0.532954891890086,5.4,0.0204949656112944,0.0253669660427431,0.0348414415392004,0.0420720412416227
"physiology","Direct Bilirubin(DBIL)",11,0.535946170814403,0.422941410014663,0.18940784184884,0.176626938622482,6.36363636363636,8.95276582243205e-06,3.42419905024666e-05,4.05858717283586e-05,0.000145528459635483
"physiology","urine SG",12,0.531460431347362,0.54533741166744,0.300320882548179,0.325747884432454,5.5,7.41225857552241e-05,0.000119415067128674,0.000265280833229223,0.00042738024024999
"ultrasound","Left middle cerebral artery_beat index",7,0.5276722377046,0.54414106109292,0.420432279539001,0.357807126944864,3.28571428571429,0.0276487602795233,0.0136399076839348,0.0437236209071531,0.0250679384461505
"physiology","ApoB",10,-0.503379483617198,-0.551818967138048,0.44387723358446,0.460255553599155,5.4,0.00933071438501428,0.00701461198132464,0.0186614287700286,0.0140292239626493
"physiology","HDL-C",10,-0.488441764049149,-0.579132031843733,0.53899461697817,0.469164909975235,5.4,0.026304544980285,0.00601514392896741,0.0427203957921295,0.012394842035448
"physiology","Mean Corpuscular Volume(MCV)",11,-0.472432859021866,-0.474036043199774,0.517366212948777,0.545555444351433,5.72727272727273,0.0179533510882132,0.0225608070703584,0.03212704931575,0.0383533720196092
