subject_id,time,microbe,log_abundance,time_numeric,site,age_group,age_numeric
S1,T3,QML0000-240606-07B_bin.18.orig,-12.469191010706691,4,gut,old,1
S1,T3,QML0000-240616-01B_bin.36.strict,-10.266889234814064,4,gut,old,1
S1,T3,QML0000-240616-04B_bin.25.strict,-8.569457090955451,4,gut,old,1
S1,T3,QML0000-240616-05B_bin.10.strict,-6.221382617235346,4,gut,old,1
S1,T3,QML0000-240616-05B_bin.9.strict,-8.70736888034494,4,gut,old,1
S1,T3,QML0000-240616-06B_bin.2.strict,-13.412505853633272,4,gut,old,1
S1,T3,QML0000-240616-06B_bin.27.permissive,-11.978059581776781,4,gut,old,1
S1,T3,QML0000-240616-08B_bin.56.permissive,-8.304992639968594,4,gut,old,1
S1,T3,QML0000-240616-10B_bin.9.strict,-7.406363515412199,4,gut,old,1
S1,T3,QML2500-240411-09B_bin.11.permissive,-6.7240964008060065,4,gut,old,1
S1,T3,QML2500-240411-09B_bin.27.strict,-6.159076367059897,4,gut,old,1
S1,T3,QML3650-240319-06B_bin.10.strict,-12.936726915553141,4,gut,old,1
S1,T3,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,4,gut,old,1
S1,T3,QML3650-240319-06B_bin.71.permissive,-6.499571837027814,4,gut,old,1
S1,T3,QML3650-240329-05B_bin.56.orig,-8.840464651196562,4,gut,old,1
S1,T3,QML3800-240416-01B_bin.36.strict,-7.532437439093181,4,gut,old,1
S1,T3,QML3800-240416-05B_bin.21.strict,-10.429633712362326,4,gut,old,1
S1,T3,QML5200-240418-03B_bin.31.strict,-8.578741922907614,4,gut,old,1
S1,T3,QML5200-240418-05B_bin.46.strict,-18.420680743952367,4,gut,old,1
S1,T3,QML5200-240418-06B_bin.10.strict,-3.546849546716136,4,gut,old,1
S1,T3,QML5200-240504-01B_bin.74.permissive,-7.406908575064747,4,gut,old,1
S1,T3,QML5200-240504-05B_bin.24.orig,-10.218351463981067,4,gut,old,1
S1,T3,QML5200-240504-06B_bin.32.strict,-7.808514971994085,4,gut,old,1
S1,T3,QML5200-240511-01B_bin.13.orig,-2.6428375928664427,4,gut,old,1
S1,T3,QML5200-240511-01B_bin.57.strict,-6.20852701629649,4,gut,old,1
S1,T3,QML5200-240511-02B_bin.12.strict,-7.116325154269436,4,gut,old,1
S1,T3,QML5200-240522-05B_bin.2.orig,-15.337401530956038,4,gut,old,1
S1,T3,QML5200-240522-08B_bin.2.strict,-18.420680743952367,4,gut,old,1
S1,T3,QML5200-240522-11B_bin.40.permissive,-18.420680743952367,4,gut,old,1
S1,T3,QML5800-240423-04B_bin.7.strict,-4.485687550213313,4,gut,old,1
S1,T3,QML5800-240423-05B_bin.15.strict,-5.563800965266479,4,gut,old,1
S1,T3,QML5800-240423-05B_bin.41.permissive,-5.706004073990354,4,gut,old,1
S1,T3,QML5800-240423-05B_bin.45.orig,-8.672843835118227,4,gut,old,1
S1,T3,QML5800-240423-08B_bin.36.orig,-18.420680743952367,4,gut,old,1
S1,T3,QML5800-240423-08B_bin.9.permissive,-7.2063183663274915,4,gut,old,1
S1,T3,QML5800-240423-11D_bin.9.strict,-18.420680743952367,4,gut,old,1
S1,T3,QML5800-240428-02B_bin.44.strict,-8.920809727358245,4,gut,old,1
S1,T3,QML5800-240428-05B_bin.15.orig,-18.420680743952367,4,gut,old,1
S1,T3,QML5800-240428-05B_bin.5.permissive,-7.560678721773524,4,gut,old,1
S1,T3,QML5800-240428-06B_bin.67.orig,-8.391009894307357,4,gut,old,1
S1,T3,QML6500-240426-05B_bin.35.strict,-6.837468234656156,4,gut,old,1
S1,T3,QML6500-240426-07B_bin.16.orig,-8.499044673626774,4,gut,old,1
S1,T3,QML6500-240426-07B_bin.34.strict,-9.956042567331883,4,gut,old,1
S1,T4,QML0000-240606-02B_bin.20.orig,-6.768687927770187,6,gut,old,1
S1,T4,QML0000-240606-04B_bin.12.orig,-18.420680743952367,6,gut,old,1
S1,T4,QML0000-240606-04B_bin.17.strict,-5.410528250025421,6,gut,old,1
S1,T4,QML0000-240606-05B_bin.26.strict,-18.420680743952367,6,gut,old,1
S1,T4,QML0000-240606-05B_bin.6.orig,-3.7298657667859714,6,gut,old,1
S1,T4,QML0000-240606-07B_bin.13.strict,-18.420680743952367,6,gut,old,1
S1,T4,QML0000-240606-07B_bin.18.orig,-11.104553219932164,6,gut,old,1
S1,T4,QML0000-240616-01B_bin.36.strict,-9.157949771594472,6,gut,old,1
S1,T4,QML0000-240616-04B_bin.25.strict,-7.60468053347555,6,gut,old,1
S1,T4,QML0000-240616-05B_bin.10.strict,-6.2111733749645355,6,gut,old,1
S1,T4,QML0000-240616-05B_bin.9.strict,-8.092574715700064,6,gut,old,1
S1,T4,QML0000-240616-06B_bin.2.strict,-18.420680743952367,6,gut,old,1
S1,T4,QML0000-240616-06B_bin.27.permissive,-18.420680743952367,6,gut,old,1
S1,T4,QML0000-240616-08B_bin.56.permissive,-7.4954738433929675,6,gut,old,1
S1,T4,QML0000-240616-10B_bin.9.strict,-10.090730605419743,6,gut,old,1
S1,T4,QML2500-240411-09B_bin.11.permissive,-6.256947067614275,6,gut,old,1
S1,T4,QML2500-240411-09B_bin.27.strict,-6.0859102962472695,6,gut,old,1
S1,T4,QML3650-240319-06B_bin.10.strict,-10.11722277711269,6,gut,old,1
S1,T4,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,6,gut,old,1
S1,T4,QML3650-240319-06B_bin.71.permissive,-7.713365774503474,6,gut,old,1
S1,T4,QML3650-240329-05B_bin.56.orig,-18.420680743952367,6,gut,old,1
S1,T4,QML3800-240416-01B_bin.36.strict,-8.924112257525996,6,gut,old,1
S1,T4,QML3800-240416-05B_bin.21.strict,-10.631685125289177,6,gut,old,1
S1,T4,QML5200-240418-03B_bin.31.strict,-7.770374500657526,6,gut,old,1
S1,T4,QML5200-240418-05B_bin.46.strict,-13.749239848825816,6,gut,old,1
S1,T4,QML5200-240418-06B_bin.10.strict,-4.414860174315009,6,gut,old,1
S1,T4,QML5200-240504-01B_bin.74.permissive,-6.674327923511479,6,gut,old,1
S1,T4,QML5200-240504-05B_bin.24.orig,-8.690283260933468,6,gut,old,1
S1,T4,QML5200-240504-06B_bin.32.strict,-9.333879389469017,6,gut,old,1
S1,T4,QML5200-240511-01B_bin.13.orig,-2.927015781760206,6,gut,old,1
S1,T4,QML5200-240511-01B_bin.57.strict,-6.225087338342551,6,gut,old,1
S1,T4,QML5200-240511-02B_bin.12.strict,-6.368812028495494,6,gut,old,1
S1,T4,QML5200-240522-05B_bin.2.orig,-11.345851981293908,6,gut,old,1
S1,T4,QML5200-240522-08B_bin.2.strict,-18.420680743952367,6,gut,old,1
S1,T4,QML5200-240522-11B_bin.40.permissive,-18.420680743952367,6,gut,old,1
S1,T4,QML5800-240423-04B_bin.7.strict,-3.6720319377557122,6,gut,old,1
S1,T4,QML5800-240423-05B_bin.15.strict,-5.474513226371806,6,gut,old,1
S1,T4,QML5800-240423-05B_bin.41.permissive,-7.391360304024619,6,gut,old,1
S1,T4,QML5800-240423-05B_bin.45.orig,-8.152897162560475,6,gut,old,1
S1,T4,QML5800-240423-08B_bin.36.orig,-18.420680743952367,6,gut,old,1
S1,T4,QML5800-240423-08B_bin.9.permissive,-6.059297340269557,6,gut,old,1
S1,T4,QML5800-240423-11D_bin.9.strict,-18.420680743952367,6,gut,old,1
S1,T4,QML5800-240428-02B_bin.44.strict,-7.198998980985282,6,gut,old,1
S1,T4,QML5800-240428-05B_bin.15.orig,-18.420680743952367,6,gut,old,1
S1,T4,QML5800-240428-05B_bin.5.permissive,-6.140094502574435,6,gut,old,1
S1,T4,QML5800-240428-06B_bin.67.orig,-7.41270023139283,6,gut,old,1
S1,T4,QML6500-240426-05B_bin.35.strict,-6.329548232761465,6,gut,old,1
S1,T4,QML6500-240426-07B_bin.16.orig,-9.321804997607444,6,gut,old,1
S1,T4,QML6500-240426-07B_bin.34.strict,-9.163565613597115,6,gut,old,1
S1,T6,QML0000-240606-02B_bin.20.orig,-7.881657341813951,8,gut,old,1
S1,T6,QML0000-240606-04B_bin.12.orig,-18.420680743952367,8,gut,old,1
S1,T6,QML0000-240606-04B_bin.17.strict,-6.707817562118014,8,gut,old,1
S1,T6,QML0000-240606-05B_bin.26.strict,-11.205479083549244,8,gut,old,1
S1,T6,QML0000-240606-05B_bin.6.orig,-4.219396525902137,8,gut,old,1
S1,T6,QML0000-240606-07B_bin.13.strict,-18.420680743952367,8,gut,old,1
S1,T6,QML0000-240606-07B_bin.18.orig,-5.883152908017546,8,gut,old,1
S1,T6,QML0000-240616-01B_bin.36.strict,-8.300014319778557,8,gut,old,1
S1,T6,QML0000-240616-04B_bin.25.strict,-8.631851724570808,8,gut,old,1
S1,T6,QML0000-240616-05B_bin.10.strict,-5.374230976826783,8,gut,old,1
S1,T6,QML0000-240616-05B_bin.9.strict,-8.572632903945332,8,gut,old,1
S1,T6,QML0000-240616-06B_bin.2.strict,-18.420680743952367,8,gut,old,1
S1,T6,QML0000-240616-06B_bin.27.permissive,-18.420680743952367,8,gut,old,1
S1,T6,QML0000-240616-08B_bin.56.permissive,-8.521276118420335,8,gut,old,1
S1,T6,QML0000-240616-10B_bin.9.strict,-18.420680743952367,8,gut,old,1
S1,T6,QML2500-240411-09B_bin.11.permissive,-4.966710399134522,8,gut,old,1
S1,T6,QML2500-240411-09B_bin.27.strict,-7.389040210757951,8,gut,old,1
S1,T6,QML3650-240319-06B_bin.10.strict,-18.420680743952367,8,gut,old,1
S1,T6,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,8,gut,old,1
S1,T6,QML3650-240319-06B_bin.71.permissive,-8.312054619314514,8,gut,old,1
S1,T6,QML3650-240329-05B_bin.56.orig,-9.747642084891577,8,gut,old,1
S1,T6,QML3800-240416-01B_bin.36.strict,-7.102852578421181,8,gut,old,1
S1,T6,QML3800-240416-05B_bin.21.strict,-6.06510536752097,8,gut,old,1
S1,T6,QML5200-240418-03B_bin.31.strict,-8.281456739477543,8,gut,old,1
S1,T6,QML5200-240418-05B_bin.46.strict,-18.420680743952367,8,gut,old,1
S1,T6,QML5200-240418-06B_bin.10.strict,-7.63995127025881,8,gut,old,1
