"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"oral_feature_1009","time_ref_after","before",0.000822615554877611,0.00190365172070881,0.666538253308854,"time_ref_afterbefore",0.666538253308854,119,119,"ref_after","oral_feature_1009","EVR0000-240319-01C_bin.64.strict"
"oral_feature_101","time_ref_after","before",0.000334106601233594,0.000698288053469534,0.633298048440008,"time_ref_afterbefore",0.686403035917838,119,117,"ref_after","oral_feature_101","QML3650-240411-02D_bin.12.permissive"
"oral_feature_101","time_ref_after","climb",-0.000155878831224064,0.000385029798517619,0.686403035917838,"time_ref_afterclimb",0.686403035917838,119,117,"ref_after","oral_feature_101","QML3650-240411-02D_bin.12.permissive"
"oral_feature_101","time_ref_before","climb",-0.000489985432457375,0.000622519685030219,0.43295798577806,"time_ref_beforeclimb",0.633298048440471,119,117,"ref_before","oral_feature_101","QML3650-240411-02D_bin.12.permissive"
"oral_feature_101","time_ref_before","after",-0.00033410660123326,0.000698288053469763,0.633298048440471,"time_ref_beforeafter",0.633298048440471,119,117,"ref_before","oral_feature_101","QML3650-240411-02D_bin.12.permissive"
"oral_feature_1010","time_ref_after","before",-0.00277614017225097,0.00220833069720864,0.21143827957193,"time_ref_afterbefore",0.422876559143859,119,117,"ref_after","oral_feature_1010","QML0000-240616-10C_bin.19.orig"
"oral_feature_1010","time_ref_after","climb",-0.000607772800383371,0.00121818700202038,0.618866490401033,"time_ref_afterclimb",0.618866490401033,119,117,"ref_after","oral_feature_1010","QML0000-240616-10C_bin.19.orig"
"oral_feature_1010","time_ref_before","climb",0.00216836737186758,0.001967659624535,0.272906508462849,"time_ref_beforeclimb",0.272906508462849,119,117,"ref_before","oral_feature_1010","QML0000-240616-10C_bin.19.orig"
"oral_feature_1010","time_ref_before","after",0.00277614017225094,0.00220833069720864,0.211438279572089,"time_ref_beforeafter",0.272906508462849,119,117,"ref_before","oral_feature_1010","QML0000-240616-10C_bin.19.orig"
"oral_feature_1011","time_ref_before","climb",0.00206913992459352,0.00343738885835893,0.548488799726907,"time_ref_beforeclimb",0.548488799726907,119,117,"ref_before","oral_feature_1011","QML6500-240426-09B_bin.47.strict"
"oral_feature_1011","time_ref_before","after",0.00328734085223436,0.003853868016652,0.395586669513741,"time_ref_beforeafter",0.548488799726907,119,117,"ref_before","oral_feature_1011","QML6500-240426-09B_bin.47.strict"
"oral_feature_1011","time_ref_after","climb",-0.00121820092764166,0.00212420408542038,0.567535784987075,"time_ref_afterclimb",0.567535784987075,119,117,"ref_after","oral_feature_1011","QML6500-240426-09B_bin.47.strict"
"oral_feature_1011","time_ref_after","before",-0.00328734085223341,0.00385386801665074,0.395586669514101,"time_ref_afterbefore",0.567535784987075,119,117,"ref_after","oral_feature_1011","QML6500-240426-09B_bin.47.strict"
"oral_feature_1012","time_ref_after","climb",0.000212029359233361,0.000210095875516529,0.315159725745827,"time_ref_afterclimb",0.606917949130931,119,116,"ref_after","oral_feature_1012","QML5200-240504-04C_bin.54.orig"
"oral_feature_1012","time_ref_after","before",-0.000196612389825653,0.000381032755112429,0.606917949130931,"time_ref_afterbefore",0.606917949130931,119,116,"ref_after","oral_feature_1012","QML5200-240504-04C_bin.54.orig"
"oral_feature_1012","time_ref_before","climb",0.000408641749059013,0.000339692926694464,0.231622044149242,"time_ref_beforeclimb",0.463244088298485,119,116,"ref_before","oral_feature_1012","QML5200-240504-04C_bin.54.orig"
