site,MAG,Microbe,mean_plasticity
gut,QML0000-240616-05B_bin.9.strict,Lawsonibacter sp900549405,2.322
oral,QML5200-240504-01D_bin.45.permissive,Peptidiphaga sp938020505,2.3205
oral,QML5200-240504-01C_bin.38.permissive,Peptidiphaga sp938020505,2.3205
oral,QML5200-240504-01D_bin.45.permissive,Peptidiphaga sp938020505,2.3205
oral,QML5200-240504-01C_bin.38.permissive,Peptidiphaga sp938020505,2.3205
oral,EVR0000-240319-04C_bin.32.orig,HOT-345 sp963541585,-2.2859
oral,QML3800-240416-07C_bin.5.strict,Nanosynbacter sp905370345,-2.2232
oral,QML0000-240606-07B_bin.7.permissive,Haemophilus_D,-2.1858
oral,QML0000-240616-01C_bin.46.strict,Haemophilus_D,-2.1858
oral,QML0000-240616-01C_bin.46.strict,Haemophilus_D,-2.1858
oral,QML0000-240606-07B_bin.7.permissive,Haemophilus_D,-2.1858
oral,QML5200-240511-05C_bin.25.strict,Neisseria,-2.1566
oral,QML3650-240329-05C_bin.31.orig,Nanosynbacter sp022828365,-2.1006
oral,QML0000-240606-05C_bin.11.orig,Haemophilus_D parainfluenzae_AC,-1.8285
oral,EVR0000-240319-02C_bin.5.strict,Veillonella rogosae,-1.8086
oral,EVR0000-240319-02C_bin.5.strict,Veillonella rogosae,-1.8086
oral,QML5800-240428-06B_bin.55.permissive,Veillonella rogosae,-1.8086
oral,QML5800-240428-06B_bin.55.permissive,Veillonella rogosae,-1.8086
oral,QML0000-240616-10C_bin.21.permissive,Rothia mucilaginosa_A,-1.7244
oral,QML0000-240616-13C_bin.19.orig,Gemella sanguinis,-1.7196
oral,QML5200-240504-01C_bin.3.orig,Gemella sanguinis,-1.7196
oral,QML0000-240616-13C_bin.19.orig,Gemella sanguinis,-1.7196
oral,QML5200-240504-01C_bin.3.orig,Gemella sanguinis,-1.7196
oral,QML3800-240416-01C_bin.53.orig,Gemella sanguinis,-1.7196
oral,QML3800-240416-01C_bin.53.orig,Gemella sanguinis,-1.7196
oral,QML5200-240504-01C_bin.3.orig,Gemella sanguinis,-1.7196
oral,QML3800-240416-01C_bin.53.orig,Gemella sanguinis,-1.7196
oral,QML0000-240616-13C_bin.19.orig,Gemella sanguinis,-1.7196
gut,QML3650-240329-05B_bin.56.orig,Lawsonibacter asaccharolyticus,-1.6503
gut,QML0000-240616-04B_bin.25.strict,Pilosibacter fragilis,-1.6293
gut,QML0000-240616-04B_bin.25.strict,Pilosibacter fragilis,-1.6293
gut,QML0000-240616-08B_bin.56.permissive,Pilosibacter fragilis,-1.6293
gut,QML0000-240616-08B_bin.56.permissive,Pilosibacter fragilis,-1.6293
oral,QML0000-240616-05D_bin.14.orig,Leptotrichia wadei,1.5319
oral,QML0000-240616-05C_bin.37.orig,Leptotrichia wadei,1.5319
oral,QML0000-240616-05D_bin.14.orig,Leptotrichia wadei,1.5319
