"original_name","renamed_name"
"Sorbitol","Metabolin_feature_261"
"7-Methylguanosine","Metabolin_feature_262"
"alpha-Ketoisovaleric acid","Metabolin_feature_263"
"L-Asparagine","Metabolin_feature_264"
"Phenylpyruvic acid","Metabolin_feature_265"
"Azelaic acid","Metabolin_feature_266"
"Sebacic acid","Metabolin_feature_267"
"Adenosine monophosphate","Metabolin_feature_268"
"Guanosine monophosphate","Metabolin_feature_269"
"Tetradecanoylcarnitine","Metabolin_feature_270"
"Xylulose","Metabolin_feature_271"
"p-Hydroxyphenylacetic acid","Metabolin_feature_272"
"Apocholic Acid(APCA)","Metabolin_feature_273"
"Estriol","Metabolin_feature_274"
"Glycerol trihexanoate","Metabolin_feature_275"
