"original_name","renamed_name"
"DAG 16:0-18:1","Lipid_feature_271"
"DAG 16:0-18:0","Lipid_feature_272"
"DAG 18:1-18:4","Lipid_feature_273"
"DAG 18:1-18:3","Lipid_feature_274"
"DAG 18:1-18:2","Lipid_feature_275"
"DAG 18:0-18:3","Lipid_feature_276"
"DAG 18:1-18:1","Lipid_feature_277"
"DAG 18:0-18:2","Lipid_feature_278"
"DAG 18:0-18:1","Lipid_feature_279"
"DAG 18:0-18:0","Lipid_feature_280"
"DAG 18:1-20:5","Lipid_feature_281"
"DAG 18:1-20:4","Lipid_feature_282"
"DAG 18:1-20:3","Lipid_feature_283"
"DAG 18:1-20:2","Lipid_feature_284"
"DAG 18:1-20:1","Lipid_feature_285"
"DAG 20:0-20:1","Lipid_feature_286"
"DAG 20:0-20:0","Lipid_feature_287"
"DAG 20:0-22:2","Lipid_feature_288"
"DAG 20:0-22:1","Lipid_feature_289"
"DAG 20:0-22:0","Lipid_feature_290"
"SM 34:2","Lipid_feature_291"
"SM 34:1","Lipid_feature_292"
"SM 34:0","Lipid_feature_293"
"SM 35:1","Lipid_feature_294"
"SM 35:0","Lipid_feature_295"
"SM 36:2","Lipid_feature_296"
"SM 36:1","Lipid_feature_297"
"SM 36:0","Lipid_feature_298"
"SM 37:1","Lipid_feature_299"
"SM 37:0","Lipid_feature_300"
"SM 38:2","Lipid_feature_301"
"SM 38:1","Lipid_feature_302"
"SM 38:0","Lipid_feature_303"
"SM 39:3","Lipid_feature_304"
"SM 39:2","Lipid_feature_305"
"SM 39:1","Lipid_feature_306"
"SM 40:4","Lipid_feature_307"
"SM 40:3","Lipid_feature_308"
"SM 40:2","Lipid_feature_309"
"SM 40:1","Lipid_feature_310"
"SM 40:0","Lipid_feature_311"
"SM 41:4","Lipid_feature_312"
"SM 41:3","Lipid_feature_313"
"SM 41:2","Lipid_feature_314"
"SM 41:1","Lipid_feature_315"
"SM 42:5","Lipid_feature_316"
"SM 42:4","Lipid_feature_317"
"SM 42:3","Lipid_feature_318"
"SM 42:2","Lipid_feature_319"
"SM 42:1","Lipid_feature_320"
"TAG42:2-FA18:2","Lipid_feature_321"
"TAG42:2-FA12:0","Lipid_feature_322"
"TAG42:1-FA18:1","Lipid_feature_323"
"TAG42:1-FA16:0","Lipid_feature_324"
"TAG42:1-FA16:1","Lipid_feature_325"
"TAG42:1-FA14:0","Lipid_feature_326"
"TAG42:1-FA12:0","Lipid_feature_327"
"TAG42:0-FA16:0","Lipid_feature_328"
"TAG42:0-FA14:0","Lipid_feature_329"
"TAG42:0-FA12:0","Lipid_feature_330"
"TAG44:3-FA18:2","Lipid_feature_331"
"TAG44:2-FA18:1","Lipid_feature_332"
"TAG44:2-FA18:2","Lipid_feature_333"
"TAG44:2-FA16:0","Lipid_feature_334"
"TAG44:2-FA16:1","Lipid_feature_335"
"TAG44:2-FA14:0","Lipid_feature_336"
"TAG44:2-FA12:0","Lipid_feature_337"
"TAG44:1-FA18:1","Lipid_feature_338"
"TAG44:1-FA16:0","Lipid_feature_339"
"TAG44:1-FA16:1","Lipid_feature_340"
"TAG44:1-FA14:0","Lipid_feature_341"
"TAG44:1-FA14:1","Lipid_feature_342"
"TAG44:1-FA12:0","Lipid_feature_343"
"TAG44:0-FA18:0","Lipid_feature_344"
"TAG44:0-FA16:0","Lipid_feature_345"
"TAG44:0-FA14:0","Lipid_feature_346"
"TAG44:0-FA12:0","Lipid_feature_347"
"TAG45:1-FA18:1","Lipid_feature_348"
"TAG45:1-FA16:0","Lipid_feature_349"
"TAG45:1-FA15:0","Lipid_feature_350"
"TAG45:0-FA16:0","Lipid_feature_351"
"TAG45:0-FA15:0","Lipid_feature_352"
"TAG45:0-FA14:0","Lipid_feature_353"
"TAG46:4-FA18:2","Lipid_feature_354"
"TAG46:3-FA18:1","Lipid_feature_355"
"TAG46:3-FA18:2","Lipid_feature_356"
"TAG46:3-FA18:3","Lipid_feature_357"
"TAG46:3-FA16:0","Lipid_feature_358"
"TAG46:3-FA16:1","Lipid_feature_359"
"TAG46:3-FA14:0","Lipid_feature_360"
"TAG46:3-FA14:1","Lipid_feature_361"
"TAG46:3-FA12:0","Lipid_feature_362"
"TAG46:2-FA18:1","Lipid_feature_363"
"TAG46:2-FA18:2","Lipid_feature_364"
"TAG46:2-FA16:0","Lipid_feature_365"
"TAG46:2-FA16:1","Lipid_feature_366"
"TAG46:2-FA14:0","Lipid_feature_367"
"TAG46:2-FA14:1","Lipid_feature_368"
"TAG46:2-FA12:0","Lipid_feature_369"
"TAG46:1-FA18:0","Lipid_feature_370"
"TAG46:1-FA18:1","Lipid_feature_371"
"TAG46:1-FA16:0","Lipid_feature_372"
"TAG46:1-FA16:1","Lipid_feature_373"
"TAG46:1-FA14:0","Lipid_feature_374"
"TAG46:1-FA14:1","Lipid_feature_375"
"TAG46:1-FA12:0","Lipid_feature_376"
"TAG46:0-FA16:0","Lipid_feature_377"
"TAG46:0-FA14:0","Lipid_feature_378"
"TAG47:2-FA18:1","Lipid_feature_379"
"TAG47:2-FA18:2","Lipid_feature_380"
"TAG47:2-FA16:1","Lipid_feature_381"
"TAG47:2-FA15:0","Lipid_feature_382"
"TAG47:2-FA14:0","Lipid_feature_383"
"TAG47:1-FA18:1","Lipid_feature_384"
"TAG47:1-FA17:0","Lipid_feature_385"
"TAG47:1-FA16:0","Lipid_feature_386"
"TAG47:1-FA16:1","Lipid_feature_387"
"TAG47:1-FA15:0","Lipid_feature_388"
"TAG47:1-FA14:0","Lipid_feature_389"
"TAG47:0-FA17:0","Lipid_feature_390"
"TAG47:0-FA16:0","Lipid_feature_391"
"TAG47:0-FA15:0","Lipid_feature_392"
"TAG47:0-FA14:0","Lipid_feature_393"
"TAG48:5-FA18:3","Lipid_feature_394"
"TAG48:4-FA20:4","Lipid_feature_395"
"TAG48:4-FA18:1","Lipid_feature_396"
"TAG48:4-FA18:2","Lipid_feature_397"
